"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"MSRB3",0,-0.272796625301145,0.212,0.779,0
"RPS12",0,-0.282376083484598,0.994,1,0
"RPL36",0,-0.333025022911717,0.944,0.999,0
"CLDN10",0,-0.384361572121728,0.131,0.786,0
"SORL1",0,-0.393611464365196,0.211,0.826,0
"SUCNR1",0,-0.491223003524743,0.186,0.758,0
"EGFL7",0,-0.522949423595109,0.465,0.927,0
"PRSS57",0,-0.645643569358101,0.568,0.972,0
"C19orf77",0,-0.68067382258149,0.386,0.964,0
"IGLL1",0,-1.0077475619865,0.328,0.869,0
"C1QTNF4",0,-1.35919244842577,0.399,0.971,0
"SYTL1",8.49756225572099e-296,-0.294025968137558,0.517,0.924,1.65133127315426e-291
"RPL41",1.22573392689882e-292,-0.267950444379003,0.976,0.999,2.38196874014247e-288
"SPINK2",1.64479525793692e-291,-0.583240988361004,0.335,0.861,3.19633062474882e-287
"GYPC",5.75475989257257e-289,-0.667386869411539,0.791,0.991,1.11832248992363e-284
"RPS29",2.54342680769217e-278,-0.319131077583463,0.896,0.995,4.94264131538819e-274
"EVA1B",1.11637426291728e-274,-0.42510397851683,0.576,0.95,2.16945010512716e-270
"ACTB",1.23721512651342e-273,0.6577169215264,0.963,0.996,2.40428015535353e-269
"RPS8",2.33971864257339e-261,-0.254436109876649,0.979,0.999,4.54677523811288e-257
"NUCB2",3.40485245919087e-260,-0.51806068714853,0.777,0.988,6.61664978394563e-256
"MSI2",7.40112360084819e-259,-0.273953912237576,0.42,0.872,1.43826034935283e-254
"RPS21",1.12007637669304e-258,-0.261846804726802,0.927,0.996,2.17664442282758e-254
"FTH1",1.24490287150538e-253,0.609748268586474,0.916,0.998,2.4192197501964e-249
"ADA",6.32585902733986e-247,-0.387493539347653,0.704,0.97,1.22930418478295e-242
"TNFSF13B",1.72576238656831e-243,-0.44220550390628,0.515,0.939,3.35367404581819e-239
"ICAM3",2.76739278222677e-243,-0.432614018619648,0.772,0.985,5.37787439370128e-239
"LMNA",2.02351775104922e-242,0.673903046358995,0.646,0.192,3.93230204561395e-238
"EBPL",3.32391834441403e-241,-0.328942362020476,0.767,0.982,6.45937051869978e-237
"HOPX",5.48494879454998e-240,-0.460735996027911,0.096,0.547,1.0658900992449e-235
